Timestamp,Frame,ID,Direction
1756152421.1203666,5,4,up
1756152421.8120148,18,33,up
1756152423.248373,46,2,down
1756152423.572158,53,10,down
1756152424.0585022,62,8,up
1756152424.8737957,79,3,down
1756152426.4998388,113,85,up
1756152426.787639,118,142,down
1756152427.306612,128,148,up
1756152428.298541,148,155,up
1756152428.3691535,150,19,down
1756152430.0166845,184,22,down
1756152430.1822293,188,219,down
1756152430.674335,198,53,down
1756152431.2466407,209,62,down
1756152431.9234784,223,26,down
1756152433.5364594,254,12,down
1756152434.224784,268,238,up
1756152436.7456682,316,470,down
1756152437.1194084,323,520,up
1756152437.2368553,325,456,up
1756152437.2847807,326,374,up
1756152437.4448993,329,66,down
1756152437.7925463,335,102,down
